Date,Incident,Priority,Category,Subcategory,Assignment_Group,Global Change
08-10-2025,INC0010467,Yes,Yes,Yes,Yes,4
07-10-2025,INC0010463,Yes,Yes,Yes,Yes,4
07-10-2025,INC0010441,Yes,Yes,Yes,Yes,4
07-10-2025,INC0010442,Yes,Yes,Yes,Yes,4
07-10-2025,INC0010444,Yes,Yes,Yes,Yes,4
08-10-2025,INC0010476,Yes,Yes,Yes,Yes,4
08-10-2025,INC0010476,Yes,Yes,Yes,Yes,4
08-10-2025,INC0010476,Yes,Yes,Yes,Yes,4
08-10-2025,INC0010496,Yes,Yes,Yes,Yes,4
08-10-2025,INC0010496,Yes,Yes,Yes,Yes,4
09-10-2025,INC0010476,Yes,Yes,Yes,Yes,4
09-10-2025,INC0010463,Yes,Yes,Yes,Yes,4
09-10-2025,INC0010467,Yes,Yes,Yes,Yes,4
09-10-2025,INC0010441,Yes,Yes,Yes,Yes,4
09-10-2025,INC0010496,Yes,Yes,Yes,Yes,4
09-10-2025,INC0010442,Yes,Yes,Yes,Yes,4
09-10-2025,INC0010497,Yes,Yes,Yes,Yes,4
09-10-2025,INC0010444,Yes,Yes,Yes,Yes,4
10-10-2025,INC0010476,Yes,Yes,Yes,Yes,4
10-10-2025,INC0010463,Yes,Yes,Yes,Yes,4
10-10-2025,INC0010467,Yes,Yes,Yes,Yes,4
10-10-2025,INC0010441,Yes,Yes,Yes,Yes,4
10-10-2025,INC0010496,Yes,Yes,Yes,Yes,4
10-10-2025,INC0010442,Yes,Yes,Yes,Yes,4
10-10-2025,INC0010497,Yes,Yes,Yes,Yes,4
10-10-2025,INC0010444,Yes,Yes,Yes,Yes,4
10-10-2025,INC0010476,Yes,Yes,Yes,Yes,4
10-10-2025,INC0010463,Yes,No,Yes,Yes,3
10-10-2025,INC0010467,Yes,No,Yes,Yes,3
10-10-2025,INC0010441,Yes,Yes,Yes,Yes,4
10-10-2025,INC0010496,Yes,Yes,Yes,Yes,4
10-10-2025,INC0010442,Yes,No,Yes,Yes,3
10-10-2025,INC0010497,Yes,Yes,Yes,Yes,4
10-10-2025,INC0010444,Yes,No,Yes,Yes,3
10-10-2025,INC0010476,Yes,No,No,Yes,2
10-10-2025,INC0010463,Yes,No,No,Yes,2
10-10-2025,INC0010467,Yes,No,No,Yes,2
10-10-2025,INC0010441,Yes,No,No,Yes,2
10-10-2025,INC0010496,Yes,No,Yes,Yes,3
10-10-2025,INC0010819,Yes,Yes,Yes,Yes,4
10-10-2025,INC0010442,Yes,No,No,Yes,2
10-10-2025,INC0010497,Yes,No,No,Yes,2
10-10-2025,INC0010444,Yes,No,No,Yes,2
10-10-2025,INC0010819,Yes,No,Yes,Yes,3
10-10-2025,INC0010820,Yes,Yes,Yes,Yes,4
14-10-2025,INC0010476,Yes,No,No,Yes,2
14-10-2025,INC0010463,Yes,No,No,Yes,2
14-10-2025,INC0010467,Yes,No,No,Yes,2
14-10-2025,INC0010441,Yes,No,No,Yes,2
14-10-2025,INC0010826,Yes,No,No,Yes,2
14-10-2025,INC0010820,Yes,No,No,Yes,2
14-10-2025,INC0010496,Yes,No,No,Yes,2
14-10-2025,INC0010819,Yes,No,No,Yes,2
14-10-2025,INC0010442,Yes,No,No,Yes,2
14-10-2025,INC0011093,Yes,No,No,Yes,2
14-10-2025,INC0010497,Yes,No,No,Yes,2
14-10-2025,INC0010444,Yes,No,No,Yes,2
14-10-2025,INC0011100,Yes,No,No,Yes,2
14-10-2025,INC0011100,Yes,No,No,Yes,2
14-10-2025,INC0010476,No,No,No,Yes,1
14-10-2025,INC0010463,Yes,No,No,Yes,2
14-10-2025,INC0010467,No,No,No,Yes,1
14-10-2025,INC0010441,Yes,No,No,Yes,2
14-10-2025,INC0010826,Yes,No,No,Yes,2
14-10-2025,INC0010820,Yes,No,No,Yes,2
14-10-2025,INC0011100,No,No,No,Yes,1
14-10-2025,INC0010496,Yes,No,No,Yes,2
14-10-2025,INC0010819,Yes,No,No,Yes,2
14-10-2025,INC0010442,Yes,No,No,Yes,2
14-10-2025,INC0011093,Yes,No,No,Yes,2
14-10-2025,INC0010497,Yes,No,No,Yes,2
14-10-2025,INC0010444,Yes,No,No,Yes,2
14-10-2025,INC0010476,No,No,No,Yes,1
14-10-2025,INC0010463,Yes,No,No,Yes,2
14-10-2025,INC0010467,No,No,No,Yes,1
14-10-2025,INC0010441,Yes,No,No,Yes,2
14-10-2025,INC0010826,Yes,No,No,Yes,2
14-10-2025,INC0010820,Yes,No,No,Yes,2
14-10-2025,INC0011100,No,No,No,Yes,1
14-10-2025,INC0010496,Yes,No,No,Yes,2
14-10-2025,INC0010819,Yes,No,No,Yes,2
14-10-2025,INC0010442,Yes,No,No,Yes,2
14-10-2025,INC0011093,Yes,No,No,Yes,2
14-10-2025,INC0010497,Yes,No,No,Yes,2
14-10-2025,INC0010444,Yes,No,No,Yes,2
14-10-2025,INC0010476,No,No,No,Yes,1
14-10-2025,INC0010463,Yes,No,No,Yes,2
14-10-2025,INC0010467,Yes,No,No,Yes,2
14-10-2025,INC0010441,Yes,No,No,Yes,2
14-10-2025,INC0010826,Yes,No,No,Yes,2
14-10-2025,INC0010820,Yes,No,No,Yes,2
14-10-2025,INC0011100,No,No,No,Yes,1
14-10-2025,INC0010496,Yes,No,No,Yes,2
14-10-2025,INC0010819,Yes,No,No,Yes,2
14-10-2025,INC0010442,Yes,No,No,Yes,2
14-10-2025,INC0011093,Yes,No,No,Yes,2
14-10-2025,INC0010497,Yes,No,No,Yes,2
14-10-2025,INC0010444,Yes,No,No,Yes,2
14-10-2025,INC0011103,Yes,Yes,Yes,Yes,4
14-10-2025,INC0011109,No,No,No,Yes,1
15-10-2025,INC0011131,Yes,Yes,Yes,Yes,4
29-10-2025,INC0010476,Yes,Yes,Yes,Yes,4
29-10-2025,INC0010463,Yes,Yes,Yes,Yes,4
29-10-2025,INC0010467,Yes,Yes,Yes,Yes,4
29-10-2025,INC0011109,Yes,Yes,Yes,Yes,4
29-10-2025,INC0010441,Yes,Yes,Yes,Yes,4
29-10-2025,INC0010826,Yes,Yes,Yes,Yes,4
29-10-2025,INC0010820,Yes,Yes,Yes,Yes,4
29-10-2025,INC0011100,Yes,Yes,Yes,Yes,4
29-10-2025,INC0010496,Yes,Yes,Yes,Yes,4
29-10-2025,INC0010819,Yes,Yes,Yes,Yes,4
29-10-2025,INC0011135,Yes,Yes,Yes,Yes,4
29-10-2025,INC0010442,Yes,Yes,Yes,Yes,4
29-10-2025,INC0011093,Yes,Yes,Yes,Yes,4
29-10-2025,INC0010497,Yes,Yes,Yes,Yes,4
29-10-2025,INC0011103,Yes,Yes,Yes,Yes,4
29-10-2025,INC0010444,Yes,Yes,Yes,Yes,4
29-10-2025,INC0011131,Yes,Yes,Yes,Yes,4
29-10-2025,INC0010476,Yes,Yes,Yes,No,3
29-10-2025,INC0010463,Yes,Yes,Yes,No,3
29-10-2025,INC0010467,Yes,Yes,Yes,No,3
29-10-2025,INC0011109,Yes,Yes,Yes,No,3
29-10-2025,INC0010441,Yes,Yes,Yes,No,3
29-10-2025,INC0010826,Yes,Yes,Yes,No,3
29-10-2025,INC0010820,Yes,Yes,Yes,No,3
29-10-2025,INC0011100,Yes,Yes,Yes,No,3
29-10-2025,INC0010496,Yes,Yes,Yes,No,3
29-10-2025,INC0010819,Yes,Yes,Yes,No,3
29-10-2025,INC0011135,Yes,Yes,Yes,No,3
29-10-2025,INC0010442,Yes,Yes,Yes,No,3
29-10-2025,INC0011093,Yes,Yes,Yes,No,3
29-10-2025,INC0011176,Yes,Yes,Yes,Yes,4
29-10-2025,INC0010497,Yes,Yes,Yes,No,3
29-10-2025,INC0011103,Yes,Yes,Yes,No,3
29-10-2025,INC0010444,Yes,Yes,Yes,No,3
29-10-2025,INC0011131,Yes,Yes,Yes,No,3
30-10-2025,INC0010476,Yes,Yes,Yes,No,3
30-10-2025,INC0010463,Yes,Yes,Yes,No,3
30-10-2025,INC0010467,Yes,Yes,Yes,No,3
30-10-2025,INC0011177,Yes,Yes,Yes,Yes,4
30-10-2025,INC0011109,Yes,Yes,Yes,No,3
30-10-2025,INC0010441,Yes,Yes,Yes,No,3
30-10-2025,INC0010826,Yes,Yes,Yes,No,3
30-10-2025,INC0010820,Yes,Yes,Yes,No,3
30-10-2025,INC0011100,Yes,Yes,Yes,No,3
30-10-2025,INC0010496,Yes,Yes,Yes,No,3
30-10-2025,INC0010819,Yes,Yes,Yes,No,3
30-10-2025,INC0011135,Yes,Yes,Yes,No,3
30-10-2025,INC0010442,Yes,Yes,Yes,No,3
30-10-2025,INC0011093,Yes,Yes,Yes,No,3
30-10-2025,INC0011176,Yes,Yes,Yes,No,3
30-10-2025,INC0010497,Yes,Yes,Yes,No,3
30-10-2025,INC0011103,Yes,Yes,Yes,No,3
30-10-2025,INC0010444,Yes,Yes,Yes,No,3
30-10-2025,INC0011131,Yes,Yes,Yes,No,3
30-10-2025,INC0010476,Yes,No,No,Yes,2
30-10-2025,INC0010463,Yes,No,No,Yes,2
30-10-2025,INC0010467,Yes,No,No,Yes,2
30-10-2025,INC0011177,Yes,Yes,Yes,Yes,4
30-10-2025,INC0011109,Yes,No,No,Yes,2
30-10-2025,INC0010441,Yes,No,No,Yes,2
30-10-2025,INC0010826,Yes,No,No,Yes,2
30-10-2025,INC0010820,Yes,No,No,Yes,2
30-10-2025,INC0011100,Yes,No,No,Yes,2
30-10-2025,INC0010496,Yes,No,No,Yes,2
30-10-2025,INC0010819,Yes,No,No,Yes,2
30-10-2025,INC0011135,Yes,No,No,Yes,2
30-10-2025,INC0010442,Yes,No,No,Yes,2
30-10-2025,INC0011093,Yes,No,No,Yes,2
30-10-2025,INC0011176,Yes,Yes,Yes,Yes,4
30-10-2025,INC0010497,Yes,No,No,Yes,2
30-10-2025,INC0011103,Yes,No,No,Yes,2
30-10-2025,INC0010444,Yes,No,No,Yes,2
30-10-2025,INC0011131,Yes,No,No,Yes,2
30-10-2025,INC0010476,Yes,No,No,Yes,2
30-10-2025,INC0010463,Yes,No,No,Yes,2
30-10-2025,INC0010467,Yes,No,No,Yes,2
30-10-2025,INC0011177,Yes,No,No,Yes,2
30-10-2025,INC0011109,Yes,No,No,Yes,2
30-10-2025,INC0010441,Yes,No,No,Yes,2
30-10-2025,INC0010826,Yes,No,No,Yes,2
30-10-2025,INC0010820,Yes,No,No,Yes,2
30-10-2025,INC0011100,Yes,No,No,Yes,2
30-10-2025,INC0010496,Yes,No,No,Yes,2
30-10-2025,INC0010819,Yes,No,No,Yes,2
30-10-2025,INC0011181,Yes,Yes,Yes,Yes,4
30-10-2025,INC0011135,Yes,No,No,Yes,2
30-10-2025,INC0010442,Yes,No,No,Yes,2
30-10-2025,INC0011093,Yes,No,No,Yes,2
30-10-2025,INC0011180,Yes,No,No,Yes,2
30-10-2025,INC0011176,Yes,No,No,Yes,2
30-10-2025,INC0010497,Yes,No,No,Yes,2
30-10-2025,INC0011103,Yes,No,No,Yes,2
30-10-2025,INC0010444,Yes,No,No,Yes,2
30-10-2025,INC0011131,Yes,No,No,Yes,2
30-10-2025,INC0011179,Yes,No,No,Yes,2
30-10-2025,INC0010476,Yes,No,No,Yes,2
30-10-2025,INC0010463,Yes,No,No,Yes,2
30-10-2025,INC0010467,Yes,No,No,Yes,2
30-10-2025,INC0011177,Yes,No,No,Yes,2
30-10-2025,INC0011109,Yes,No,No,Yes,2
30-10-2025,INC0010441,Yes,No,No,Yes,2
30-10-2025,INC0010826,Yes,No,No,Yes,2
30-10-2025,INC0010820,Yes,No,No,Yes,2
30-10-2025,INC0011100,Yes,No,No,Yes,2
30-10-2025,INC0010496,Yes,No,No,Yes,2
30-10-2025,INC0010819,Yes,No,No,Yes,2
30-10-2025,INC0011181,Yes,No,No,Yes,2
30-10-2025,INC0011182,Yes,Yes,Yes,Yes,4
30-10-2025,INC0011135,Yes,No,No,Yes,2
30-10-2025,INC0010442,Yes,No,No,Yes,2
30-10-2025,INC0011093,Yes,No,No,Yes,2
30-10-2025,INC0011180,Yes,No,No,Yes,2
30-10-2025,INC0011176,Yes,No,No,Yes,2
30-10-2025,INC0010497,Yes,No,No,Yes,2
30-10-2025,INC0011103,Yes,No,No,Yes,2
30-10-2025,INC0010444,Yes,No,No,Yes,2
30-10-2025,INC0011131,Yes,No,No,Yes,2
30-10-2025,INC0011179,Yes,No,No,Yes,2
30-10-2025,INC0010476,Yes,No,No,Yes,2
30-10-2025,INC0010463,Yes,No,No,Yes,2
30-10-2025,INC0010467,Yes,No,No,Yes,2
30-10-2025,INC0011177,Yes,No,No,Yes,2
30-10-2025,INC0011109,Yes,No,No,Yes,2
30-10-2025,INC0010441,Yes,No,No,Yes,2
30-10-2025,INC0010826,Yes,No,No,Yes,2
30-10-2025,INC0010820,Yes,No,No,Yes,2
30-10-2025,INC0011100,Yes,No,No,Yes,2
30-10-2025,INC0010496,Yes,No,No,Yes,2
30-10-2025,INC0010819,Yes,No,No,Yes,2
30-10-2025,INC0011181,Yes,No,No,Yes,2
30-10-2025,INC0011182,Yes,No,No,Yes,2
30-10-2025,INC0011135,Yes,No,No,Yes,2
30-10-2025,INC0010442,Yes,No,No,Yes,2
30-10-2025,INC0011093,Yes,No,No,Yes,2
30-10-2025,INC0011180,Yes,No,No,Yes,2
30-10-2025,INC0011176,Yes,No,No,Yes,2
30-10-2025,INC0010497,Yes,No,No,Yes,2
30-10-2025,INC0011103,Yes,No,No,Yes,2
30-10-2025,INC0010444,Yes,No,No,Yes,2
30-10-2025,INC0011131,Yes,No,No,Yes,2
30-10-2025,INC0011184,Yes,Yes,Yes,Yes,4
30-10-2025,INC0011179,Yes,No,No,Yes,2
21-11-2025,INC0035788,Yes,Yes,Yes,Yes,4
21-11-2025,INC0046203,Yes,Yes,Yes,Yes,4
21-11-2025,INC0014692,Yes,Yes,Yes,Yes,4
21-11-2025,INC0014890,Yes,Yes,Yes,Yes,4
21-11-2025,INC0013995,Yes,Yes,Yes,Yes,4
21-11-2025,INC0015523,Yes,Yes,Yes,Yes,4
21-11-2025,INC0014700,Yes,Yes,Yes,Yes,4
21-11-2025,INC0024403,Yes,Yes,Yes,Yes,4
21-11-2025,INC0014292,Yes,Yes,Yes,Yes,4
21-11-2025,INC0025609,Yes,Yes,Yes,Yes,4
21-11-2025,INC0019831,Yes,Yes,Yes,Yes,4
21-11-2025,INC0010227,Yes,Yes,Yes,Yes,4
21-11-2025,INC0046139,Yes,Yes,Yes,Yes,4
21-11-2025,INC0015926,Yes,Yes,Yes,Yes,4
21-11-2025,INC0015973,Yes,Yes,Yes,Yes,4
21-11-2025,INC0019022,Yes,Yes,Yes,Yes,4
21-11-2025,INC0035787,Yes,Yes,Yes,Yes,4
21-11-2025,INC0037389,Yes,Yes,Yes,Yes,4
21-11-2025,INC0021284,Yes,Yes,Yes,Yes,4
21-11-2025,INC0011323,Yes,No,Yes,Yes,3
21-11-2025,INC0020959,Yes,Yes,Yes,Yes,4
21-11-2025,INC0013966,Yes,Yes,Yes,Yes,4
21-11-2025,INC0013990,Yes,Yes,Yes,Yes,4
21-11-2025,INC0035779,Yes,Yes,Yes,Yes,4
21-11-2025,INC0023122,Yes,Yes,Yes,Yes,4
21-11-2025,INC0046175,Yes,Yes,Yes,Yes,4
21-11-2025,INC0011299,Yes,Yes,Yes,Yes,4
21-11-2025,INC0021076,Yes,Yes,Yes,Yes,4
21-11-2025,INC0011591,Yes,Yes,Yes,Yes,4
21-11-2025,INC0015693,Yes,No,Yes,Yes,3
21-11-2025,INC0017059,Yes,Yes,Yes,Yes,4
21-11-2025,INC0018779,Yes,Yes,Yes,Yes,4
21-11-2025,INC0021089,Yes,Yes,Yes,Yes,4
21-11-2025,INC0014098,Yes,Yes,Yes,Yes,4
21-11-2025,INC0035837,Yes,Yes,Yes,Yes,4
21-11-2025,INC0010407,Yes,Yes,Yes,Yes,4
21-11-2025,INC0031462,Yes,Yes,Yes,Yes,4
21-11-2025,INC0021491,Yes,Yes,Yes,Yes,4
21-11-2025,INC0035427,Yes,Yes,Yes,Yes,4
21-11-2025,INC0046139,Yes,Yes,Yes,Yes,4
21-11-2025,INC0018574,Yes,Yes,Yes,Yes,4
21-11-2025,INC0046139,Yes,Yes,Yes,Yes,4
21-11-2025,INC0024587,Yes,Yes,Yes,Yes,4
21-11-2025,INC0021896,Yes,Yes,Yes,Yes,4
21-11-2025,INC0011652,Yes,Yes,Yes,Yes,4
21-11-2025,INC0046139,Yes,Yes,Yes,Yes,4
21-11-2025,INC0046139,Yes,Yes,Yes,Yes,4
21-11-2025,INC0015218,Yes,Yes,Yes,Yes,4
21-11-2025,INC0028858,Yes,Yes,Yes,Yes,4
21-11-2025,INC0011994,Yes,Yes,Yes,Yes,4
21-11-2025,INC0010818,Yes,Yes,Yes,Yes,4
21-11-2025,INC0046137,Yes,Yes,Yes,Yes,4
21-11-2025,INC0017007,Yes,Yes,Yes,Yes,4
21-11-2025,INC0046138,Yes,Yes,Yes,Yes,4
21-11-2025,INC0046131,Yes,No,Yes,Yes,3
21-11-2025,INC0013120,Yes,Yes,Yes,Yes,4
21-11-2025,INC0035430,Yes,Yes,Yes,Yes,4
21-11-2025,INC0014690,Yes,Yes,Yes,Yes,4
21-11-2025,INC0044464,Yes,Yes,Yes,Yes,4
21-11-2025,INC0015049,Yes,Yes,Yes,Yes,4
21-11-2025,INC0014905,Yes,Yes,Yes,Yes,4
21-11-2025,INC0035893,Yes,Yes,Yes,Yes,4
21-11-2025,INC0018759,Yes,Yes,Yes,Yes,4
21-11-2025,INC0021181,Yes,Yes,Yes,Yes,4
21-11-2025,INC0015271,Yes,Yes,Yes,Yes,4
21-11-2025,INC0011327,Yes,Yes,Yes,Yes,4
21-11-2025,INC0035754,Yes,Yes,Yes,Yes,4
21-11-2025,INC0019308,Yes,Yes,Yes,Yes,4
21-11-2025,INC0045141,Yes,Yes,Yes,Yes,4
21-11-2025,INC0025064,Yes,Yes,Yes,Yes,4
21-11-2025,INC0035901,Yes,Yes,Yes,Yes,4
21-11-2025,INC0046204,Yes,No,No,Yes,2
21-11-2025,INC0046205,Yes,Yes,Yes,Yes,4
